datetime,Consumption (kWh),temp,feelslike,dew,humidity,precip,precipprob,windgust,windspeed,winddir,sealevelpressure,cloudcover,solarradiation,solarenergy,uvindex,icon
2023-11-01 00:00:00,0.02,7.8,5.9,7.7,99.11,0.235,100.0,15.7,11.0,104.0,997.4,87.6,0.0,0.0,0.0,rain
2023-11-01 01:00:00,0.01,8.0,6.0,7.8,99.11,0.528,100.0,16.1,11.3,120.0,996.2,100.0,0.0,0.0,0.0,rain
2023-11-01 02:00:00,0.01,8.3,5.6,8.1,99.04,0.701,100.0,23.3,16.4,113.0,994.7,100.0,0.0,0.0,0.0,rain
2023-11-01 03:00:00,0.01,8.6,5.5,8.4,99.15,0.742,100.0,28.5,20.5,123.0,993.0,100.0,0.0,0.0,0.0,rain
2023-11-01 04:00:00,0.01,8.9,5.8,8.8,99.3,0.768,100.0,31.4,22.4,128.0,991.3,100.0,0.0,0.0,0.0,rain
2023-11-01 05:00:00,0.33,9.4,6.5,9.2,98.86,0.385,100.0,29.4,21.0,138.0,989.9,100.0,0.0,0.0,0.0,rain
2023-11-01 06:00:00,0.01,9.8,7.3,9.6,98.34,0.135,100.0,28.6,18.8,132.0,988.4,100.0,0.0,0.0,0.0,rain
2023-11-01 07:00:00,1.63,10.2,10.2,10.1,98.96,0.135,100.0,29.8,21.8,145.0,987.3,100.0,0.0,0.0,0.0,rain
2023-11-01 08:00:00,0.02,10.8,10.8,10.4,97.56,0.583,100.0,32.7,20.9,176.0,987.2,100.0,112.0,0.4,1.0,rain
2023-11-01 09:00:00,0.03,10.7,10.7,10.1,95.84,0.383,100.0,36.3,22.1,204.0,987.0,83.2,56.0,0.2,1.0,rain
2023-11-01 10:00:00,0.02,11.3,11.3,9.3,87.43,0.0,0.0,35.5,22.6,196.0,986.5,72.6,6.0,0.0,0.0,partly-cloudy-day
2023-11-01 11:00:00,1.39,11.7,11.7,8.7,81.9,0.0,0.0,45.6,29.6,192.0,985.7,78.3,12.0,0.0,0.0,partly-cloudy-day
2023-11-01 12:00:00,0.01,11.9,11.9,8.2,78.02,0.0,0.0,49.4,30.5,196.0,985.0,89.7,11.0,0.0,0.0,partly-cloudy-day
2023-11-01 13:00:00,0.42,11.5,11.5,8.1,79.7,0.175,100.0,49.1,30.4,205.0,984.7,100.0,30.0,0.1,0.0,rain
2023-11-01 14:00:00,0.05,10.9,10.9,7.5,79.89,0.0,0.0,52.2,32.6,229.0,985.0,96.6,54.0,0.2,1.0,cloudy
2023-11-01 15:00:00,0.06,10.6,10.6,6.6,76.65,0.023,100.0,41.9,28.1,234.0,984.9,55.6,48.0,0.2,0.0,rain
2023-11-01 16:00:00,0.07,9.9,6.8,6.4,79.06,0.0,0.0,36.7,24.3,224.0,984.5,56.8,80.0,0.3,1.0,partly-cloudy-day
2023-11-01 17:00:00,0.41,8.7,5.5,5.5,79.99,0.035,100.0,33.8,23.3,218.0,984.7,45.1,0.0,0.0,0.0,rain
2023-11-01 18:00:00,0.07,7.9,4.5,4.5,78.98,0.0,0.0,33.4,22.9,214.0,984.5,29.2,0.0,0.0,0.0,partly-cloudy-night
2023-11-01 19:00:00,0.39,7.3,3.8,4.3,81.44,0.0,0.0,34.7,21.5,197.0,984.0,67.7,0.0,0.0,0.0,partly-cloudy-night
2023-11-01 20:00:00,0.45,6.6,3.1,4.2,85.0,0.0,0.0,28.4,19.7,194.0,983.0,3.1,0.0,0.0,0.0,clear-night
2023-11-01 21:00:00,0.12,6.1,2.6,4.4,88.56,0.0,0.0,29.7,19.4,174.0,981.7,45.0,0.0,0.0,0.0,partly-cloudy-night
2023-11-01 22:00:00,0.06,6.0,2.5,4.6,90.28,0.0,0.0,28.6,19.2,134.0,980.0,60.1,0.0,0.0,0.0,partly-cloudy-night
2023-11-01 23:00:00,0.06,5.9,2.3,4.7,91.95,0.0,0.0,26.5,19.7,135.0,978.1,91.6,0.0,0.0,0.0,cloudy
2023-11-02 00:00:00,0.39,5.9,2.4,5.2,95.18,0.206,100.0,26.7,18.5,110.0,976.0,100.0,0.0,0.0,0.0,rain
2023-11-02 01:00:00,0.05,6.1,2.0,5.7,97.37,0.744,100.0,33.9,24.1,98.0,973.0,100.0,0.0,0.0,0.0,rain
2023-11-02 02:00:00,0.06,6.4,2.3,6.0,97.33,1.739,100.0,39.5,25.4,81.0,970.1,98.3,0.0,0.0,0.0,rain
2023-11-02 03:00:00,0.35,6.8,2.8,6.5,98.22,2.198,100.0,38.5,25.2,83.0,967.8,100.0,0.0,0.0,0.0,rain
2023-11-02 04:00:00,0.06,7.1,3.5,6.9,98.2,1.749,100.0,37.2,22.9,71.0,965.8,100.0,0.0,0.0,0.0,rain
2023-11-02 05:00:00,0.06,7.6,4.4,7.4,98.12,1.162,100.0,31.9,20.4,72.0,964.1,100.0,0.0,0.0,0.0,rain
2023-11-02 06:00:00,0.04,8.0,5.0,7.8,98.19,0.848,100.0,28.0,18.6,68.0,963.0,100.0,0.0,0.0,0.0,rain
2023-11-02 07:00:00,0.65,8.4,5.8,8.1,98.19,0.452,100.0,24.5,16.1,67.0,962.5,100.0,0.0,0.0,0.0,rain
2023-11-02 08:00:00,0.99,8.4,5.9,8.1,98.15,0.829,100.0,22.4,15.4,35.0,962.4,100.0,56.0,0.2,1.0,rain
2023-11-02 09:00:00,0.05,8.6,6.6,8.4,98.38,0.193,100.0,20.9,12.5,19.0,962.2,100.0,112.0,0.4,1.0,rain
2023-11-02 10:00:00,0.05,8.9,6.6,8.5,97.58,0.16,100.0,22.4,14.7,351.0,962.4,100.0,3.0,0.0,0.0,rain
2023-11-02 11:00:00,0.19,9.1,6.5,8.8,97.75,0.523,100.0,28.3,17.5,347.0,962.8,100.0,7.0,0.0,0.0,rain
2023-11-02 12:00:00,0.02,9.3,6.6,8.8,96.79,0.946,100.0,30.8,18.8,336.0,963.2,100.0,5.0,0.0,0.0,rain
2023-11-02 13:00:00,0.02,9.0,6.2,8.6,97.26,1.149,100.0,31.4,19.7,321.0,963.9,100.0,9.0,0.0,0.0,rain
2023-11-02 14:00:00,0.33,8.9,6.1,8.5,97.09,0.516,100.0,29.8,19.7,320.0,964.7,100.0,5.0,0.0,0.0,rain
2023-11-02 15:00:00,0.11,9.0,6.3,8.7,97.44,1.392,100.0,30.7,18.7,311.0,965.7,100.0,1.0,0.0,0.0,rain
2023-11-02 16:00:00,0.45,8.8,5.8,8.4,96.73,1.564,100.0,33.8,21.6,309.0,966.9,100.0,0.0,0.0,0.0,rain
2023-11-02 17:00:00,0.16,8.6,5.7,8.3,98.05,1.599,100.0,31.9,19.6,307.0,968.0,100.0,0.0,0.0,0.0,rain
2023-11-02 18:00:00,1.47,8.5,5.4,8.2,98.02,1.351,100.0,32.2,21.4,299.0,969.3,100.0,0.0,0.0,0.0,rain
2023-11-02 19:00:00,0.04,8.5,5.3,8.1,97.65,1.288,100.0,31.6,21.5,295.0,970.2,100.0,0.0,0.0,0.0,rain
2023-11-02 20:00:00,0.39,8.4,4.9,7.7,95.34,0.451,100.0,36.3,24.3,290.0,971.1,100.0,0.0,0.0,0.0,rain
2023-11-02 21:00:00,0.03,8.3,4.8,7.4,94.15,0.174,100.0,41.1,25.4,288.0,971.9,100.0,0.0,0.0,0.0,rain
2023-11-02 22:00:00,0.03,8.2,4.7,7.4,94.35,0.105,100.0,39.1,24.9,285.0,972.4,100.0,0.0,0.0,0.0,rain
2023-11-02 23:00:00,0.03,8.2,4.7,7.2,93.69,0.349,100.0,37.0,23.6,283.0,972.9,100.0,0.0,0.0,0.0,rain
2023-11-03 00:00:00,0.03,7.9,4.3,7.1,94.51,0.123,100.0,40.3,25.4,279.0,973.8,100.0,0.0,0.0,0.0,rain
2023-11-03 01:00:00,0.22,7.7,4.0,6.8,93.96,0.035,100.0,42.5,25.3,275.0,974.3,100.0,0.0,0.0,0.0,rain
2023-11-03 02:00:00,0.02,7.7,3.8,6.6,92.73,0.09,100.0,42.5,28.1,279.0,974.9,100.0,0.0,0.0,0.0,rain
2023-11-03 03:00:00,0.02,7.5,3.4,6.3,91.83,0.107,100.0,41.9,29.0,273.0,975.1,68.1,0.0,0.0,0.0,rain
2023-11-03 04:00:00,0.26,7.4,3.5,6.2,91.85,0.018,100.0,38.0,26.8,273.0,975.5,74.3,0.0,0.0,0.0,rain
2023-11-03 05:00:00,0.02,7.4,3.7,6.2,91.77,0.018,100.0,37.9,24.8,275.0,975.9,89.7,0.0,0.0,0.0,rain
2023-11-03 06:00:00,0.01,7.2,3.8,6.0,92.14,0.035,100.0,31.3,21.2,276.0,976.6,53.7,0.0,0.0,0.0,rain
2023-11-03 07:00:00,0.54,7.2,3.7,6.2,93.51,0.0,0.0,32.0,20.9,265.0,977.3,76.3,0.0,0.0,0.0,partly-cloudy-night
2023-11-03 08:00:00,0.99,7.3,4.2,6.4,94.16,0.07,100.0,28.4,18.3,265.0,978.0,81.5,0.0,0.0,0.0,rain
2023-11-03 09:00:00,0.03,7.8,4.3,6.6,92.5,0.0,0.0,35.5,22.8,266.0,978.4,64.3,0.0,0.0,0.0,partly-cloudy-day
2023-11-03 10:00:00,0.39,8.7,5.4,6.9,88.42,0.0,0.0,35.1,23.7,260.0,978.9,62.3,334.0,1.2,3.0,partly-cloudy-day
2023-11-03 11:00:00,0.48,9.5,6.3,7.0,84.64,0.0,0.0,37.9,24.5,268.0,978.9,54.7,133.0,0.5,1.0,partly-cloudy-day
2023-11-03 12:00:00,0.08,10.3,10.3,7.2,81.44,0.0,0.0,39.8,26.4,267.0,979.2,79.4,314.0,1.1,3.0,partly-cloudy-day
2023-11-03 13:00:00,0.06,10.2,10.2,6.9,79.8,0.088,100.0,38.4,25.1,268.0,979.7,88.7,228.0,0.8,2.0,rain
2023-11-03 14:00:00,0.05,10.1,10.1,6.9,80.63,0.368,100.0,39.9,22.0,268.0,979.8,91.8,222.0,0.8,2.0,rain
2023-11-03 15:00:00,0.19,9.6,6.7,6.7,81.85,0.035,100.0,36.5,22.5,268.0,980.1,91.8,124.0,0.4,1.0,rain
2023-11-03 16:00:00,0.72,8.9,6.0,6.8,86.25,0.158,100.0,31.1,21.0,269.0,980.4,62.9,9.0,0.0,0.0,rain
2023-11-03 17:00:00,0.38,8.3,5.4,7.0,91.8,0.0,0.0,28.6,18.5,261.0,980.7,74.3,0.0,0.0,0.0,partly-cloudy-night
2023-11-03 18:00:00,0.86,8.0,5.1,6.7,91.95,0.303,100.0,25.7,17.3,270.0,980.9,93.8,0.0,0.0,0.0,rain
2023-11-03 19:00:00,0.06,7.8,4.5,6.8,93.16,0.386,100.0,32.8,21.8,263.0,980.8,77.4,0.0,0.0,0.0,rain
2023-11-03 20:00:00,0.37,7.8,4.5,6.8,93.55,0.708,100.0,32.2,20.8,261.0,980.8,87.6,0.0,0.0,0.0,rain
2023-11-03 21:00:00,0.06,7.7,4.8,6.7,93.83,0.423,100.0,26.1,17.3,255.0,980.5,81.5,0.0,0.0,0.0,rain
2023-11-03 22:00:00,0.05,7.5,4.5,6.8,95.13,0.071,100.0,25.2,17.8,250.0,980.3,91.8,0.0,0.0,0.0,rain
2023-11-03 23:00:00,0.05,7.6,4.7,7.0,95.93,0.404,100.0,25.3,17.2,246.0,980.2,100.0,0.0,0.0,0.0,rain
2023-11-04 00:00:00,0.3,7.3,4.2,6.6,95.3,0.053,100.0,27.1,18.1,243.0,979.8,87.3,0.0,0.0,0.0,rain
2023-11-04 01:00:00,0.04,6.6,3.8,5.8,94.89,0.0,0.0,23.4,15.0,235.0,978.9,21.3,0.0,0.0,0.0,partly-cloudy-night
2023-11-04 02:00:00,0.03,6.0,3.8,5.4,95.79,0.0,0.0,16.4,10.4,217.0,978.1,9.9,0.0,0.0,0.0,clear-night
2023-11-04 03:00:00,0.03,5.9,3.3,5.3,96.05,0.0,0.0,18.4,12.8,208.0,977.1,31.3,0.0,0.0,0.0,partly-cloudy-night
2023-11-04 04:00:00,0.04,5.4,3.4,4.7,95.39,0.0,0.0,13.6,9.0,183.0,975.9,77.8,0.0,0.0,0.0,partly-cloudy-night
2023-11-04 05:00:00,0.03,5.0,3.0,4.4,95.92,0.0,0.0,12.6,8.5,150.0,974.9,73.2,0.0,0.0,0.0,partly-cloudy-night
2023-11-04 06:00:00,0.02,4.8,1.9,4.5,98.18,0.0,0.0,17.9,12.6,140.0,974.1,100.0,0.0,0.0,0.0,cloudy
2023-11-04 07:00:00,0.05,4.3,1.4,4.2,99.04,0.0,0.0,15.8,12.4,116.0,972.8,100.0,0.0,0.0,0.0,cloudy
2023-11-04 08:00:00,0.35,4.7,1.5,4.5,98.77,0.058,100.0,19.5,14.4,108.0,971.6,77.8,29.0,0.1,0.0,rain
2023-11-04 09:00:00,0.47,5.1,1.8,4.8,98.25,0.0,0.0,21.5,15.8,108.0,970.5,100.0,23.0,0.1,0.0,cloudy
2023-11-04 10:00:00,1.76,5.3,2.2,5.0,98.04,0.684,100.0,22.3,14.8,106.0,969.8,100.0,40.0,0.1,0.0,rain
2023-11-04 11:00:00,1.66,5.5,1.9,5.3,98.45,0.651,100.0,28.1,18.3,96.0,968.3,100.0,86.0,0.3,1.0,rain
2023-11-04 12:00:00,0.14,5.8,2.3,5.5,97.52,0.398,100.0,27.9,18.8,90.0,966.4,100.0,54.0,0.2,1.0,rain
2023-11-04 13:00:00,0.49,6.2,2.5,5.7,96.82,0.344,100.0,30.6,20.6,84.0,965.6,100.0,61.0,0.2,1.0,rain
2023-11-04 14:00:00,0.16,6.5,2.8,6.1,97.92,0.553,100.0,31.6,21.0,71.0,964.9,100.0,40.0,0.1,0.0,rain
2023-11-04 15:00:00,0.16,6.6,3.1,6.4,98.35,0.485,100.0,29.3,20.3,70.0,964.7,100.0,32.0,0.1,0.0,rain
2023-11-04 16:00:00,0.25,6.6,3.2,6.4,98.59,0.48,100.0,29.1,18.4,65.0,964.6,100.0,0.0,0.0,0.0,rain
2023-11-04 17:00:00,0.25,6.6,3.7,6.4,98.62,0.977,100.0,25.8,15.2,57.0,964.6,100.0,0.0,0.0,0.0,rain
2023-11-04 18:00:00,0.62,6.7,3.5,6.4,98.13,0.632,100.0,27.5,17.2,55.0,964.8,100.0,0.0,0.0,0.0,rain
2023-11-04 19:00:00,1.26,6.8,3.6,6.5,98.37,0.565,100.0,27.3,17.5,46.0,964.8,100.0,0.0,0.0,0.0,rain
2023-11-04 20:00:00,1.15,6.8,4.3,6.6,98.43,0.531,100.0,25.7,12.9,42.0,965.0,100.0,0.0,0.0,0.0,rain
2023-11-04 21:00:00,0.2,6.8,3.8,6.7,98.98,0.556,100.0,24.6,16.3,15.0,965.6,100.0,0.0,0.0,0.0,rain
2023-11-04 22:00:00,0.18,6.9,4.0,6.7,98.2,0.325,100.0,24.0,16.2,13.0,965.9,100.0,0.0,0.0,0.0,rain
2023-11-04 23:00:00,0.41,7.1,4.2,6.7,97.37,0.018,100.0,23.8,15.4,353.0,966.6,100.0,0.0,0.0,0.0,rain
2023-11-05 00:00:00,0.15,7.1,4.2,6.5,96.1,0.023,100.0,24.3,15.5,342.0,967.5,100.0,0.0,0.0,0.0,rain
2023-11-05 01:00:00,0.13,7.1,4.3,6.4,95.4,0.0,0.0,23.4,15.0,329.0,968.1,100.0,0.0,0.0,0.0,cloudy
2023-11-05 02:00:00,0.44,7.0,4.0,6.5,96.26,0.124,100.0,25.1,17.1,326.0,969.1,84.6,0.0,0.0,0.0,rain
2023-11-05 03:00:00,0.14,7.0,3.9,6.2,94.51,0.023,100.0,28.0,18.1,322.0,970.1,100.0,0.0,0.0,0.0,rain
2023-11-05 04:00:00,0.15,6.7,3.7,6.1,95.8,0.0,0.0,26.9,16.7,310.0,971.2,100.0,0.0,0.0,0.0,cloudy
2023-11-05 05:00:00,0.15,6.7,3.2,5.8,94.15,0.035,100.0,28.4,19.9,311.0,972.4,100.0,0.0,0.0,0.0,rain
2023-11-05 06:00:00,0.14,6.5,3.0,5.4,92.88,0.034,100.0,28.5,19.0,312.0,973.7,88.4,0.0,0.0,0.0,rain
2023-11-05 07:00:00,0.13,5.7,2.5,4.9,94.65,0.0,0.0,25.5,15.4,300.0,975.1,73.9,0.0,0.0,0.0,partly-cloudy-night
2023-11-05 08:00:00,0.42,5.9,2.5,5.0,94.15,0.0,0.0,29.6,17.8,301.0,976.6,91.6,18.0,0.1,0.0,cloudy
2023-11-05 09:00:00,0.14,6.6,3.1,5.3,91.64,0.0,0.0,28.5,19.9,293.0,977.9,55.1,269.0,1.0,3.0,partly-cloudy-day
2023-11-05 10:00:00,0.47,7.5,4.8,5.8,89.23,0.0,0.0,22.7,14.9,284.0,979.0,42.7,352.0,1.3,4.0,partly-cloudy-day
2023-11-05 11:00:00,0.15,8.3,5.5,6.2,86.55,0.0,0.0,27.5,17.9,285.0,980.1,77.7,280.0,1.0,3.0,partly-cloudy-day
2023-11-05 12:00:00,0.15,9.2,6.2,6.3,82.1,0.018,100.0,32.8,21.4,278.0,981.1,79.4,104.0,0.4,1.0,rain
2023-11-05 13:00:00,0.43,8.7,6.2,6.3,85.13,0.053,100.0,27.2,15.8,293.0,982.0,97.9,58.0,0.2,1.0,rain
2023-11-05 14:00:00,1.36,9.3,6.9,6.3,81.29,0.018,100.0,25.1,17.1,277.0,982.6,79.4,173.0,0.6,2.0,rain
2023-11-05 15:00:00,1.26,9.2,6.8,6.5,83.63,0.0,0.0,23.4,15.7,278.0,983.5,85.6,97.0,0.3,1.0,partly-cloudy-day
2023-11-05 16:00:00,0.87,8.4,6.3,6.1,85.34,0.0,0.0,19.8,12.2,279.0,984.4,85.6,8.0,0.0,0.0,partly-cloudy-day
2023-11-05 17:00:00,0.47,7.6,4.9,5.7,88.0,0.068,100.0,22.2,15.3,257.0,985.2,39.8,0.0,0.0,0.0,rain
2023-11-05 18:00:00,0.96,7.2,4.6,5.7,90.15,0.0,0.0,21.2,14.0,241.0,986.0,78.4,0.0,0.0,0.0,partly-cloudy-night
2023-11-05 19:00:00,0.34,7.0,4.6,5.7,91.07,0.0,0.0,18.1,12.6,229.0,986.7,69.1,0.0,0.0,0.0,partly-cloudy-night
2023-11-05 20:00:00,0.57,6.9,4.3,5.9,93.1,0.0,0.0,18.7,14.1,229.0,987.3,63.3,0.0,0.0,0.0,partly-cloudy-night
2023-11-05 21:00:00,0.92,6.3,4.7,5.4,93.66,0.0,0.0,13.0,8.0,232.0,987.8,38.6,0.0,0.0,0.0,partly-cloudy-night
2023-11-05 22:00:00,0.28,6.2,3.5,5.3,93.98,0.0,0.0,22.2,13.8,226.0,988.3,59.9,0.0,0.0,0.0,partly-cloudy-night
2023-11-05 23:00:00,0.21,6.3,3.2,5.4,94.07,0.0,0.0,24.3,16.1,223.0,988.4,52.0,0.0,0.0,0.0,partly-cloudy-night
2023-11-06 00:00:00,0.49,6.5,3.4,5.6,93.99,0.0,0.0,25.1,16.9,222.0,988.7,58.8,0.0,0.0,0.0,partly-cloudy-night
2023-11-06 01:00:00,0.16,6.5,3.7,5.8,94.86,0.0,0.0,20.4,14.4,230.0,989.0,72.2,0.0,0.0,0.0,partly-cloudy-night
2023-11-06 02:00:00,0.41,6.5,3.5,5.8,95.3,0.023,100.0,23.6,15.3,229.0,989.5,76.3,0.0,0.0,0.0,rain
2023-11-06 03:00:00,0.14,6.5,3.3,6.0,96.28,0.148,100.0,27.3,17.0,235.0,989.9,75.9,0.0,0.0,0.0,rain
2023-11-06 04:00:00,0.14,6.3,3.0,5.7,95.38,0.09,100.0,28.0,18.0,241.0,990.6,72.9,0.0,0.0,0.0,rain
2023-11-06 05:00:00,0.14,6.0,2.8,5.1,93.63,0.023,100.0,27.0,16.1,233.0,991.0,66.8,0.0,0.0,0.0,rain
2023-11-06 06:00:00,0.28,6.1,2.7,5.5,96.44,0.045,100.0,28.6,17.6,237.0,991.4,62.4,0.0,0.0,0.0,rain
2023-11-06 07:00:00,1.26,6.1,2.5,5.4,95.22,1.048,100.0,30.7,20.0,232.0,991.9,54.0,0.0,0.0,0.0,rain
2023-11-06 08:00:00,0.47,6.4,3.0,5.6,94.65,0.474,100.0,29.4,18.6,240.0,992.6,69.1,90.0,0.3,1.0,rain
2023-11-06 09:00:00,0.14,6.8,3.3,5.8,92.96,0.293,100.0,29.9,20.4,244.0,993.1,51.0,207.0,0.7,2.0,rain
2023-11-06 10:00:00,0.24,7.9,4.3,6.3,89.58,0.041,100.0,39.2,24.3,242.0,993.9,54.0,255.0,0.9,3.0,rain
2023-11-06 11:00:00,0.13,8.6,5.2,6.5,86.76,0.0,0.0,38.9,24.5,250.0,994.6,62.4,371.0,1.3,4.0,partly-cloudy-day
2023-11-06 12:00:00,0.13,8.9,5.6,6.9,87.37,0.09,100.0,41.1,24.1,257.0,995.0,81.2,143.0,0.5,1.0,rain
2023-11-06 13:00:00,0.42,9.8,6.6,6.5,80.07,0.023,100.0,39.6,26.7,258.0,995.4,59.8,371.0,1.3,4.0,rain
2023-11-06 14:00:00,0.16,9.0,5.6,6.4,84.21,0.27,100.0,37.3,25.1,253.0,996.0,81.3,71.0,0.3,1.0,rain
2023-11-06 15:00:00,0.41,8.5,5.1,6.2,85.63,0.023,100.0,35.8,23.7,250.0,996.5,100.0,19.0,0.1,0.0,rain
2023-11-06 16:00:00,0.14,7.8,4.2,6.3,90.31,0.366,100.0,35.7,23.1,250.0,997.3,72.2,12.0,0.0,0.0,rain
2023-11-06 17:00:00,0.8,8.5,5.6,5.6,81.98,0.0,0.0,38.5,18.4,261.0,997.0,100.0,0.0,0.0,0.0,cloudy
